description,details,money,pub_name
1200 word fiction,Medium reporting; Cold pitch (no pre existing relationship),"$0.02
/word",3288 review
~1500 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",425 business
700 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.21
/word",5280
500 word news story,,"$0.07
/word",7x7
2000 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.06
/word",av club
700 word profile or interview,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.36
/word",av club
"criticism, review, or arts/entertainment converage",,"$60
flat",av club
1000 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",ae real crime blog
1000 word blog post,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.50
/word",ae real crime blog
200 word fob,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$2.00
/word",aarp bulletin
500 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$2.00
/word",aarp bulletin
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.60
/word",aarp bulletin
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",aarp en espaol spanishlanguage website for aarp
"1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",acclaim magazine
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",acclaim magazine
1000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.30
/word",acres usa
"1600 word opinion, editorial, column or essay",,"$0.09
/word",adbusters
~3000 word feature,Medium reporting,"$0.50
/word",adbusters
579 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.22
/word",additude
"972 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.21
/word",additude
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",adoptioncom
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",adoptioncom
2500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.09
/word",adrain telegram
"~750 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$1.35
/word",adventure cyclist magazine
800 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.09
/word",adventure kayak
600 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",advicesister beauty fashion  lifestyle
"1200 word opinion, editorial, column or essay",Solicited pitch (editor asked you to pitch),"$0.21
/word",aeon
"3000 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.55
/word",aeon
"1300 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.15
/word",aeon
~3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.46
/word",aeon
~3000 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.55
/word",aeon
~3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",aeon
"450 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$1.50
/word",afar
500 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.50
/word",afar
500 word feature,Medium reporting,"$1.50
/word",afar
"800 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$1.00
/word",afar
1600 word,,"$0.50
/word",africa renewal un
600 word blog post,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",afropunk
"713 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.21
/word",agdaily
~1500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,,al jazeera america
"~1500 word opinion, editorial, column or essay",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.00
/word",al jazeera america
~1500 word news story,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.87
/word",al jazeera america
~1500 word fob,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$1.00
/word",al jazeera america
~1500 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",al jazeera america
~1500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.83
/word",al jazeera america
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.47
/word",al jazeera america
1500 word,,"$0.23
/word",al jazeera america
1200 word feature,,"$0.29
/word",al jazeera america
900 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.44
/word",al jazeera english
1350 word news story,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.26
/word",al jazeera english
1000 word feature,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.35
/word",al jazeera english
1500 word,,"$0.53
/word",al jazeera english
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",al jazeera english
"1000 word opinion, editorial, column or essay",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.30
/word",al jazeera english
1000 word,,"$1.00
/word",aljazeera english
1500 word,,"$0.50
/word",aljazeera english
2400 word,,"$0.52
/word",aljazeera english
1200 word feature,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$0.42
/word",aljazeera english
