description,details,money,pub_name,rate,type
1200 word fiction,Medium reporting; Cold pitch (no pre existing relationship),"$0.02
/word",3288 review,0.02,word
~1500 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",425 business,0.15,word
700 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.21
/word",5280,0.21,word
500 word news story,,"$0.07
/word",7x7,0.07,word
2000 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.06
/word",av club,0.06,word
700 word profile or interview,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.36
/word",av club,0.36,word
1000 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",ae real crime blog,0.4,word
1000 word blog post,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.50
/word",ae real crime blog,0.5,word
200 word fob,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$2.00
/word",aarp bulletin,2.0,word
500 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$2.00
/word",aarp bulletin,2.0,word
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.60
/word",aarp bulletin,1.6,word
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",aarp en espaol spanishlanguage website for aarp,0.1,word
"1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",acclaim magazine,0.07,word
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",acclaim magazine,0.1,word
1000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.30
/word",acres usa,0.3,word
"1600 word opinion, editorial, column or essay",,"$0.09
/word",adbusters,0.09,word
~3000 word feature,Medium reporting,"$0.50
/word",adbusters,0.5,word
579 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.22
/word",additude,0.22,word
"972 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.21
/word",additude,0.21,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",adoptioncom,0.03,word
